src,dst
1722,2265
1727,2267
1727,2268
1730,2271
1730,2272
1731,2273
1731,2274
1735,2275
1735,2276
1736,2277
1736,2278
1746,2279
1747,2280
1751,2281
1758,2282
1758,2283
1763,2287
1764,2288
1764,2289
1765,2290
1765,2291
1766,2292
1776,2293
1776,2294
1777,2295
1779,2298
1782,2299
1786,2301
1786,2302
1787,2303
1787,2304
1788,2305
1788,2306
1789,2307
1789,2308
1790,2309
1790,2310
1791,2311
1791,2312
1792,2313
1792,2314
1793,2315
1793,2316
1796,2317
1796,2318
1800,2319
1801,2320
1801,2321
1802,2322
1802,2323
1805,2324
1806,2325
1806,2326
1810,2327
1814,2328
1815,2329
1815,2330
1818,2332
1818,2333
1819,2334
1819,2335
1821,2338
1827,2341
1827,2342
1834,2343
1834,2344
1835,2349
1835,2350
1839,2352
1839,2353
1840,2354
1840,2355
1846,2358
1847,2359
1852,2368
1852,2369
1853,2371
1857,2377
1858,2379
1859,2380
1860,2381
1862,2383
1863,2384
1864,2385
1866,2387
1867,2388
1868,2389
1870,2391
1871,2392
1872,2393
1873,2397
1874,2398
1875,2399
1883,2402
1883,2403
1884,2405
1885,2406
1888,2407
1889,2408
1890,2409
1890,2410
1890,2411
1893,2414
1895,2415
1895,2416
1902,2417
1902,2418
1908,2420
1909,2426
1909,2427
1911,2428
1911,2429
1912,2430
1912,2431
1915,2435
1916,2436
1916,2437
1916,2438
1920,2439
1921,2440
1925,2441
1937,2443
1947,2444
1949,2445
1950,2447
1950,2448
1951,2449
1951,2450
1955,2454
1958,2455
1960,2458
1967,2464
1967,2465
1969,2466
1969,2467
1971,2468
1972,2469
1973,2470
1975,2471
1975,2472
1977,2473
1978,2474
1984,2475
1984,2476
1986,2477
1986,2478
1987,2479
1988,2480
1991,2481
1992,2482
1992,2483
1996,2484
1996,2485
2002,2486
2004,2487
2006,2492
2007,2493
2010,2494
2014,2496
2015,2497
2018,2502
2019,2503
2023,2505
2024,2507
2024,2508
2025,2509
2025,2510
2026,2511
2026,2512
2026,2513
2027,2514
2028,2515
2029,2516
2030,2517
2030,2518
2031,2519
2031,2520
2032,2521
2033,2522
2034,2523
2035,2524
2036,2525
2037,2526
2038,2527
2039,2528
2040,2529
2041,2530
2041,2531
2042,2532
2043,2533
2044,2534
2045,2535
2046,2536
2047,2537
2048,2538
2048,2539
2049,2540
2049,2541
2050,2542
2050,2543
2051,2544
2051,2545
2052,2546
2052,2547
2053,2548
2053,2549
2054,2550
2054,2551
2055,2552
2055,2553
2056,2554
2056,2555
2057,2556
2057,2557
2058,2558
2058,2559
2059,2560
2059,2561
2060,2562
2060,2563
2061,2564
2061,2565
2062,2566
2062,2567
2063,2568
2064,2569
2065,2570
2066,2571
2066,2572
2067,2573
2083,2574
2086,2576
2086,2577
2087,2578
2094,2580
2094,2581
2094,2582
2097,2583
2097,2584
2104,2585
2106,2586
2107,2589
2107,2590
2108,2591
2108,2592
2109,2593
2114,2594
2114,2595
2116,2596
2118,2598
2118,2599
2124,2601
2128,2604
2132,2605
2140,2607
2140,2608
2141,2609
2143,2611
2146,2613
2151,2614
2151,2615
2151,2616
2155,2618
2155,2619
2157,2620
2157,2621
2164,2624
2178,2627
2200,2628
2200,2629
2201,2630
2202,2631
2203,2632
2203,2633
2204,2634
2206,2635
2206,2636
2209,2640
2209,2641
2212,2643
2212,2644
2217,2652
2217,2653
2219,2654
2219,2655
2220,2656
2228,2660
2233,2662
2233,2663
2233,2664
2236,2665
2253,2666
2253,2667
2267,2672
2267,2673
2267,2674
2271,2675
2271,2676
2271,2677
2273,2678
2273,2679
2273,2680
2282,2684
2289,2691
